*Date*,*Local Time*,*Latitude*,*Longitude*,*Magnitude(ML)*,*Epicentre*,*Remarks*,*Form*,DD,MM,YYYY
06/06/2015,02:33,28.26,85.86,4.2,Tibet/Sindhupalchok,NSC,,6,6,2015
05/06/2015,14:16,27.7,85.22,4,Kathmandu,NSC,,5,6,2015
05/06/2015,10:02,27.79,85.78,4.1,Sindhupalchowk,NSC,,5,6,2015
04/06/2015,16:15,27.76,86.2,4,Dolakha,NSC,,4,6,2015
03/06/2015,17:38,27.7,86.26,4.5,Dolakha,NSC,,3,6,2015
03/06/2015,14:39,27.76,86.07,4.2,Dolakha,NSC,,3,6,2015
03/06/2015,13:37,27.79,85.87,4.5,Sindhupalchowk,NSC,,3,6,2015
03/06/2015,02:45,27.84,85.78,4.1,Sindhupalchowk,NSC,,3,6,2015
02/06/2015,20:33,30,81.75,4.7,Humla,NSC/RSC,,2,6,2015
02/06/2015,10:48,27.78,86.2,4,Dolakha,NSC,,2,6,2015
01/06/2015,04:35,27.98,85.51,4,Sindhupalchowk,NSC,,1,6,2015
31/05/2015,13:54,28.29,84.46,4.2,Lamjung,NSC,,31,5,2015
30/05/2015,22:13,27.79,85.17,4.5,Nuwakot,NSC,,30,5,2015
30/05/2015,20:35,28.01,85.19,4,Rasuwa/Nuwakot,NSC,,30,5,2015
30/05/2015,01:52,27.75,85.21,4,Dhading /Nuwakot/Kathmandu,NSC,,30,5,2015
29/05/2015,15:44,28,84.98,5.2,Dhading,NSC,,29,5,2015
29/05/2015,12:30,28.01,84.84,4.8,Gorkha/Dhading,NSC,,29,5,2015
29/05/2015,08:30,28.17,84.72,4,Gorkha,NSC,,29,5,2015
29/05/2015,05:20,28.07,84.94,4.2,Dhading,NSC,,29,5,2015
29/05/2015,00:37,27.82,86.34,4.2,Dolakha,NSC,,29,5,2015
28/05/2015,22:16,27.94,85.54,4,Sindhupalchowk,NSC,,28,5,2015
28/05/2015,12:14,27.59,86.16,4.1,Dolakha,NSC,,28,5,2015
28/05/2015,11:36,27.59,86.19,4.2,Dolakha,NSC,,28,5,2015
28/05/2015,05:29,27.77,86.25,4.2,Dolakha,NSC,,28,5,2015
28/05/2015,05:12,27.64,85.31,4,Kathmandu,NSC,,28,5,2015
28/05/2015,03:40,27.95,84.8,4,Gorkha/Dhading,NSC,,28,5,2015
28/05/2015,03:07,27.99,84.79,4,Gorkha/Dhading,NSC,,28,5,2015
27/05/2015,22:29,28.04,85.13,4.2,Rasuwa/Nuwakot,NSC,,27,5,2015
27/05/2015,13:16,27.89,85.53,4.6,Sindhupalchowk,NSC,,27,5,2015
27/05/2015,13:15,27.91,85.53,4.5,Sindhupalchowk,NSC,,27,5,2015
27/05/2015,12:03,27.59,86.2,4.2,Dolakha,NSC,,27,5,2015
26/05/2015,22:52,28.02,85.26,5,Rasuwa,NSC,,26,5,2015
26/05/2015,20:00,27.54,85.43,4.3,Lalitpur/Kavre,NSC,,26,5,2015
26/05/2015,18:39,27.71,86.05,4.1,Dolakha,NSC,,26,5,2015
26/05/2015,17:48,27.63,86.3,4.1,Dolakha,NSC,,26,5,2015
26/05/2015,14:11,27.84,86.24,4.3,Dolakha,NSC,,26,5,2015
25/05/2015,22:16,27.74,86.19,4.4,Dolakha,NSC,,25,5,2015
25/05/2015,11:00,27.71,86.07,4.1,Dolakha,NSC,,25,5,2015
25/05/2015,03:23,28.01,84.68,5,Gorkha,NSC,,25,5,2015
24/05/2015,23:15,27.76,86.26,4.3,Dolakha,NSC,,24,5,2015
24/05/2015,12:55,27.8,86.29,4.4,Dolakha,NSC,,24,5,2015
24/05/2015,11:46,27.84,86,4.2,Sindhupalchowk,NSC,,24,5,2015
24/05/2015,10:38,27.76,86.28,4.4,Dolakha,NSC,,24,5,2015
24/05/2015,07:06,27.67,86.18,4.2,Dolakha,NSC,,24,5,2015
23/05/2015,22:26,27.9,85.51,4.4,Sindhupalchok,NSC,,23,5,2015
23/05/2015,13:14,27.74,86.2,4.2,Dolakha,NSC,,23,5,2015
22/05/2015,20:44,27.69,86.16,4.1,Dolakha,NSC,,22,5,2015
22/05/2015,19:07,30.31,81.47,4.8,Humla,NSC,,22,5,2015
22/05/2015,18:49,27.78,85.93,4,Sindhupalchowk,NSC,,22,5,2015
22/05/2015,17:30,27.63,86.25,4.1,Dolakha,NSC,,22,5,2015
22/05/2015,16:44,28.05,85.08,4.8,Dhading/Nuwakot,NSC,,22,5,2015
22/05/2015,14:45,27.79,85.14,4.2,Dhading /Nuwakot,NSC,,22,5,2015
21/05/2015,19:30,28.02,84.98,4,Dhading,NSC,,21,5,2015
21/05/2015,14:56,27.93,85.46,4,Nuwakot,NSC,,21,5,2015
21/05/2015,14:11,27.85,86.32,4.2,Dolakha,NSC,,21,5,2015
20/05/2015,14:47,27.52,85.26,4.4,Kathmandu/Lalitput/Makawanpur,NSC,,20,5,2015
20/05/2015,11:10,27.84,86.33,4.2,Dolakha,NSC,,20,5,2015
19/05/2015,16:44,27.92,86.04,4.2,Sindhupalchowk,NSC,,19,5,2015
19/05/2015,11:29,27.9,85.99,4,Sindhupalchowk,NSC,,19,5,2015
19/05/2015,04:34,27.66,86.03,4.3,Dolakha,NSC,,19,5,2015
18/05/2015,18:27,28.11,84.88,4.1,Dhading / Gorkha,NSC,,18,5,2015
18/05/2015,11:24,27.69,86.26,4,Dolakha,NSC,,18,5,2015
18/05/2015,09:11,27.71,86.07,4.2,Dolakha,NSC,,18,5,2015
17/05/2015,20:40,27.84,86.24,4.4,Dolakha,NSC,,17,5,2015
17/05/2015,11:30,27.48,85.87,4.6,Ramechhap,NSC,,17,5,2015
17/05/2015,05:00,27.73,86.06,4.4,Dolakha,NSC,,17,5,2015
16/05/2015,20:44,27.64,86.14,4.3,Dolakha,NSC,,16,5,2015
16/05/2015,17:19,27.6,86.26,5.5,Dolakha,NSC,,16,5,2015
16/05/2015,09:35,27.45,85.31,4.2,Lalitpur/Makawanapur,NSC,,16,5,2015
16/05/2015,09:24,27.7,85.85,4.2,Sindhupalchowk,NSC,,16,5,2015
16/05/2015,06:31,28.13,84.89,4,Gorkha/Dhading,NSC,,16,5,2015
16/05/2015,06:11,27.97,85.48,4,Nuwakot,NSC,,16,5,2015
16/05/2015,04:38,27.66,86.09,4.1,Dolakha,NSC,,16,5,2015
16/05/2015,04:28,27.65,86.12,4.1,Dolakha,NSC,,16,5,2015
16/05/2015,02:15,28.07,84.7,4,Gorkha,NSC,,16,5,2015
15/05/2015,22:58,27.74,86.17,4,Dolakha,NSC,,15,5,2015
15/05/2015,15:09,27.61,86.2,4.5,Dolakha,NSC,,15,5,2015
15/05/2015,10:51,27.92,84.84,4,Dhading,NSC,,15,5,2015
15/05/2015,07:27,27.93,84.84,5.5,Dhading,NSC,,15,5,2015
15/05/2015,04:06,27.69,86.08,4.3,Dolakha,NSC,,15,5,2015
15/05/2015,03:38,27.63,86.25,4.1,Dolakha,NSC,,15,5,2015
14/05/2015,21:40,27.84,85.84,4,Sindhupalchowk,NSC,,14,5,2015
14/05/2015,20:50,27.71,86.04,4,Dolakha,NSC,,14,5,2015
14/05/2015,20:21,28.06,85.35,4.5,Rasuwa,NSC,,14,5,2015
14/05/2015,19:43,27.75,86.14,4,Dolakha,NSC,,14,5,2015
14/05/2015,15:20,27.62,86.09,4.2,Dolakha,NSC,,14,5,2015
14/05/2015,09:06,27.83,86.15,4.5,Dolakha,NSC,,14,5,2015
14/05/2015,08:52,27.8,85.82,4,Sindupalchok,NSC,,14,5,2015
14/05/2015,03:23,27.67,86.08,5,Dolakha,NSC,,14,5,2015
14/05/2015,03:13,27.66,86.07,4.1,Dolakha,NSC,,14,5,2015
14/05/2015,00:16,27.92,86.31,4.3,Dolakha,NSC,,14,5,2015
13/05/2015,21:36,27.7,86.15,4.1,Dolakha,NSC,,13,5,2015
13/05/2015,21:21,27.64,85.7,4,Kavrepalanchok,NSC,,13,5,2015
13/05/2015,16:44,27.63,86.17,4.5,Dolakha,NSC,,13,5,2015
13/05/2015,15:37,27.85,86.29,4,Dolakha,NSC,,13,5,2015
13/05/2015,14:30,27.6,86.16,4.3,Dolakha,NSC,,13,5,2015
13/05/2015,12:38,27.68,86.17,5.1,Dolakha,NSC,,13,5,2015
13/05/2015,12:34,27.84,86.25,4.6,Dolakha,NSC,,13,5,2015
13/05/2015,12:22,27.79,86.07,4.8,Dolakha/Sindhupalchowk,NSC,,13,5,2015
13/05/2015,12:11,27.69,86.11,4.7,Sindhupalchok,NSC,,13,5,2015